product_code,title,description,hashtags,features,price,url
AKP32825082000A,"[서울역KTX포함][강릉항/독도포함] 울릉도 3일#대아리조트 #육로일주관광(A,B코스) #명이쌈밥정식","서울역-강릉항 왕복 KTX포함 상품입니다. 울릉도 대아리조트에서 숙박하며, 독도 및 육로관광 A/B코스가 포함된 일정으로 되어있습니다.",#관광,"2박 3일, 항공없음, 쇼핑 3회, 단체여행, 가이드경비없음, 선택관광있음","549,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=AKP32825082000A&prePage=major-products
AKP31025081500A,"[강릉/묵호항/독도포함] 울릉도 3일 #호텔급 #육로일주관광(A,B코스) #예림원",울릉도 호텔급 숙소에서 숙박합니다. 육로관광 A/B코스와 독도포함이며 예림원 입장 및 카페울라를 경유하는 일정으로 되어있습니다.,#관광+자유 #관광,"2박 3일, 항공없음, 쇼핑 3회, 단체여행, 자유일정포함, 가이드경비없음, 선택관광있음","519,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=AKP31025081500A&prePage=major-products
AKP600250816001,[연합상품][지원특가]울진/영덕/포항/경주 2일#동해안7번국도 #울진불영사 #포항해맞이공원 #경주신라왕경투어,가장 아름다운 국도로 알려진 동해안 국도를 따라 떠나는 경북 여행~!,#관광,"1박 2일, 항공없음, 쇼핑없음, 단체여행, 가이드경비없음, 선택관광없음","139,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=AKP600250816001&prePage=major-products
AKP601250822001,[연합상품]거제/통영/남해/여수/전주 3일 #한려수도완전일주 #호텔숙박 #특별미,편안한 호텔에서 숙박하고 지역의 특별미와 함께하는 명품 여행!,#관광,"2박 3일, 항공없음, 쇼핑없음, 단체여행, 가이드경비없음, 선택관광없음","355,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=AKP601250822001&prePage=major-products
AKP767250815001,[연합상품][KTX]부산 2일 #해변열차 #흰여울문화마을 #호텔1박,"항구도시 부산의 화려한 명소들을 1박2일간 둘러볼 수 있는 일정으로 이기대, 해변열차 등 다양한 부산의 즐길거리, 놀거리를 경험할 수 있습니다.",#관광,"1박 2일, 항공없음, 쇼핑없음, 단체여행, 선택관광있음","349,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=AKP767250815001&prePage=major-products
AKP907250820001,[연합상품][KTX] 여수 2일 #호텔숙박 #여수별미 #다도해 #금오도비렁길,"여수의 별미 다 모였다! 여수의 아름다움이 담긴 오동도와 장도, 금오도 섬에서 힐링하고 전라남도의 맛을 제대로 보여주는 다도해 여수의 매력에 흠뻑 빠져보세요~!",#관광,"1박 2일, 항공없음, 쇼핑없음, 단체여행, 선택관광없음","329,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=AKP907250820001&prePage=major-products
AKP662250816000,[지원특가/리무진버스]보성/순천/고흥 2일 #시크릿가든 #보성 대한다원 #순천 선암사 #고흥 쑥섬,나만알고 싶은 시크릿 가든 전라남도,#관광,"1박 2일, 항공없음, 쇼핑없음, 단체여행, 가이드경비없음, 선택관광없음","245,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=AKP662250816000&prePage=major-products
AKP644250816001,[연합상품]남해 2일 #보물섬남해 #보리암 #독일마을 #다랭이마을 #토피아랜드,손에 잡힐 듯한 푸른바다 위 삼천포 대교 드라이브와 한려해상과 기암괴석의 절경 보리암을 감상 등 남해 명소를 골라 투어하는 남해 2일 상품입니다.,#관광,"1박 2일, 항공없음, 쇼핑없음, 단체여행, 선택관광없음","165,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=AKP644250816001&prePage=major-products
AKP91125081900A,[연합상품][인천항/주중섬나들이특가] 백령도 2일 #두무진유람선 #심청각 #사곶해변 #콩돌해안가 #국가지질명소 #인천연안여객터미널 집결,"서해 청정지역, 자연그대로를 간직한 아름다운 섬 백령도 1박2일 상품입니다.",#관광,"1박 2일, 항공없음, 쇼핑 1회, 단체여행, 선택관광없음","210,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=AKP91125081900A&prePage=major-products
AKP714250820001,[연합상품][KTX]경주/포항 2일 #황리단길 #불국사 #포항스페이스워크,"천년고도 경주 불국사, 핫플레이스 황리단길, 떠오르는 관광지 포항스페이스워크까지 이용하는 1박2일 여행입니다.",#관광,"1박 2일, 항공없음, 쇼핑없음, 단체여행, 선택관광없음","269,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=AKP714250820001&prePage=major-products
